LLM,topic,experiment,if_base,稳态轮次,达成共识轮次,共识观点,末轮观点分布,ave_opinion,agent1_posi,agent1_negi,agent1_poss,agent1_negs,agent2_posi,agent2_negi,agent2_poss,agent2_negs,agent3_posi,agent3_negi,agent3_poss,agent3_negs,agent4_posi,agent4_negi,agent4_poss,agent4_negs,agent5_posi,agent5_negi,agent5_poss,agent5_negs,agent6_posi,agent6_negi,agent6_poss,agent6_negs,rumor,truth,ave_Ip,ave_In,ave_Sp,ave_Sn,max_Ip,max_In,max_Sp,max_Sn
DeepSeek-V3.2,5,3,0,1,11,FALSE,polar,0.666666667,0,0,0,0,0,0,-0.833333333,0,0,0,-0.833333333,0,3.333333333,0,0,0,0,0,-0.833333333,0,0,0,-0.833333333,0,1,4,0.555555556,0,-0.555555556,0,3.333333333,0,0,0
DeepSeek-V3.2,5,4,0,2,11,FALSE,polar,0.666666667,0,0,0,0,0.173611111,0,-0.833333333,0,0.173611111,0,-0.833333333,0,0.173611111,0,-0.833333333,0,2.673611111,0,0,0,0,0,-0.694444444,0,1,5,0.532407407,0,-0.532407407,0,2.673611111,0,0,0
DeepSeek-V3.2,5,5,0,1,11,FALSE,polar,0.666666667,0,0,0,0,0,0,-0.833333333,0,0,0,-0.833333333,0,0,0,-0.833333333,0,0,0,-0.833333333,0,3.333333333,0,0,0,1,6,0.555555556,0,-0.555555556,0,3.333333333,0,0,0
DeepSeek-V3.2,5,6,0,1,11,FALSE,polar,0.666666667,3.333333333,0,0,0,0,0,0,0,0,0,-0.833333333,0,0,0,-0.833333333,0,0,0,-0.833333333,0,0,0,-0.833333333,0,2,1,0.555555556,0,-0.555555556,0,3.333333333,0,0,0
DeepSeek-V3.2,5,7,0,2,2,1,consistent,1,0.432505011,0,-0.833333333,0,0.138888889,0,-1.761696734,0,3.226121134,0,0,0,0.432505011,0,-0.833333333,0,0.293616122,0,-0.694444444,0,0.432505011,0,-0.833333333,0,2,3,0.82602353,0,-0.82602353,0,3.226121134,0,0,0
DeepSeek-V3.2,5,8,0,10,11,FALSE,polar,0.666666667,0.044414035,0,-0.833333333,0,0,0.833333333,0,0,0,0,-0.355312282,-0.833333333,2.544414035,0,0,0,0.044414035,0,-0.833333333,0,0.044414035,0,-0.833333333,0,2,4,0.446276024,0.138888889,-0.47588538,-0.138888889,2.544414035,0.833333333,0,0
DeepSeek-V3.2,5,9,0,3,3,1,consistent,1,0.409356863,0,-0.833333333,0,0.115740741,0,-1.761696734,0,0.409356863,0,-0.833333333,0,0.293616122,0,-0.578703704,0,3.202972985,0,0,0,0.409356863,0,-0.833333333,0,2,5,0.806733406,0,-0.806733406,0,3.202972985,0,0,0
DeepSeek-V3.2,5,10,0,2,2,1,consistent,1,0.432505011,0,-0.833333333,0,0.138888889,0,-1.761696734,0,0.293616122,0,-0.694444444,0,0.432505011,0,-0.833333333,0,0.432505011,0,-0.833333333,0,3.226121134,0,0,0,2,6,0.82602353,0,-0.82602353,0,3.226121134,0,0,0
DeepSeek-V3.2,5,11,0,10,10,1,consistent,1,3.368864562,0,0,0,0.035531228,0,-0.833333333,0,0,0,-0.355312282,0,0.035531228,0,-0.833333333,0,0.035531228,0,-0.833333333,0,0.035531228,0,-0.833333333,0,3,1,0.585164912,0,-0.614774269,0,3.368864562,0,0,0
DeepSeek-V3.2,5,12,0,1,11,FALSE,polar,0.666666667,0,0,-0.833333333,0,3.333333333,0,0,0,0,0,0,0,0,0,-0.833333333,0,0,0,-0.833333333,0,0,0,-0.833333333,0,3,2,0.555555556,0,-0.555555556,0,3.333333333,0,0,0
